,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,main_deflector_parameters_center_x,main_deflector_parameters_center_y,main_deflector_parameters_dec_0,main_deflector_parameters_e1,main_deflector_parameters_e2,main_deflector_parameters_gamma,main_deflector_parameters_gamma1,main_deflector_parameters_gamma2,main_deflector_parameters_ra_0,main_deflector_parameters_theta_E,main_deflector_parameters_z_lens,source_parameters_R_sersic,source_parameters_center_x,source_parameters_center_y,source_parameters_e1,source_parameters_e2,source_parameters_mag_app,source_parameters_n_sersic,source_parameters_output_ab_zeropoint,source_parameters_z_source,lens_light_parameters_R_sersic,lens_light_parameters_center_x,lens_light_parameters_center_y,lens_light_parameters_e1,lens_light_parameters_e2,lens_light_parameters_mag_app,lens_light_parameters_n_sersic,lens_light_parameters_output_ab_zeropoint,lens_light_parameters_z_source,point_source_parameters_compute_time_delays,point_source_parameters_mag_app,point_source_parameters_output_ab_zeropoint,point_source_parameters_x_point_source,point_source_parameters_y_point_source,point_source_parameters_z_point_source,lens_equation_solver_parameters_min_distance,lens_equation_solver_parameters_num_iter_max,lens_equation_solver_parameters_precision_limit,lens_equation_solver_parameters_search_window,lens_equation_solver_parameters_x_center,lens_equation_solver_parameters_y_center,cosmology_parameters_cosmology_name,psf_parameters_point_source_supersampling_factor,psf_parameters_psf_type,detector_parameters_background_noise,detector_parameters_ccd_gain,detector_parameters_exposure_time,detector_parameters_magnitude_zero_point,detector_parameters_num_exposures,detector_parameters_pixel_scale,detector_parameters_read_noise,detector_parameters_sky_brightness,drizzle_parameters_output_pixel_scale,drizzle_parameters_psf_supersample_factor,drizzle_parameters_supersample_pixel_scale,drizzle_parameters_wcs_distortion,point_source_parameters_num_images,point_source_parameters_lens_ps_offset,point_source_parameters_x_image_0,point_source_parameters_y_image_0,point_source_parameters_magnification_0,point_source_parameters_mag_pert_0,point_source_parameters_x_image_1,point_source_parameters_y_image_1,point_source_parameters_magnification_1,point_source_parameters_mag_pert_1,point_source_parameters_x_image_2,point_source_parameters_y_image_2,point_source_parameters_magnification_2,point_source_parameters_mag_pert_2,point_source_parameters_x_image_3,point_source_parameters_y_image_3,point_source_parameters_magnification_3,point_source_parameters_mag_pert_3,seed,sigma_v_4MOST_kmpersec,catalog_idx,fpd01,fpd02,fpd03,Ddt_Mpc,td01,td02,td03,sigma_v_MUSE_bin0_kmpersec,sigma_v_MUSE_bin1_kmpersec,sigma_v_MUSE_bin2_kmpersec,sigma_v_NIRSPEC_bin0_kmpersec,sigma_v_NIRSPEC_bin1_kmpersec,sigma_v_NIRSPEC_bin2_kmpersec,sigma_v_NIRSPEC_bin3_kmpersec,sigma_v_NIRSPEC_bin4_kmpersec,sigma_v_NIRSPEC_bin5_kmpersec,sigma_v_NIRSPEC_bin6_kmpersec,sigma_v_NIRSPEC_bin7_kmpersec,sigma_v_NIRSPEC_bin8_kmpersec,sigma_v_NIRSPEC_bin9_kmpersec,lambda_int,beta_ani
0,0,0,0,0.002034387717848,-0.0328851243943327,0.0,-0.0174227481958257,0.0865740759266478,1.9200605172264809,-0.0159615577779007,-0.0166046003481064,0.0,1.069203006204712,0.186,0.2088893789071892,-0.1146524,-0.307523,0.00010126391,-0.19761238,22.672026,3.999931629660361,25.1152,1.7317647,0.8098681,0.002034387717848,-0.0328851243943327,-0.0163913423168857,0.0814489940583384,17.6123142,3.9983280141936888,25.1152,0.186,0,23.05,25.1152,-0.1146524,-0.307523,1.78,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.2983986748380496,-0.1252621847855355,-1.4048234509352664,4.303267227336329,0.789970492364554,0.3505304944029119,0.5711445149339495,-0.980767236339582,0.5421876451456185,,,,,,,,,"(1671518848,)",179.98742453077904,0,-0.6343343310808807,,,907.2624301286793,-16.816695928821368,,,181.223503007022,173.7322192757142,165.2426873398677,185.73018764875877,178.392434540855,172.82872171708723,173.5605467896373,171.45156973550766,165.73504446115507,161.50194217794987,160.38563286036756,162.24206966339278,165.84464174546528,1.0434630696043234,0.000539555529018
1,1,1,1,-0.0542784141853139,-0.0075004073136764,0.0,0.0176360674110624,-0.0338246446415702,2.2123366372049267,-0.0230030532513738,0.0224755186736893,0.0,0.7685510379311249,0.476,1.7288767944122625,0.1835049,0.1264667,-0.0005042784,-0.0019184827,22.876587,3.999064045279378,25.1152,1.2949572,1.4836106,-0.0542784141853139,-0.0075004073136764,0.0198897716342964,-0.0381470790426929,19.8923206,4.000691777998981,25.1152,0.476,0,22.05,25.1152,0.1835049,0.1264667,1.29,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.2729250636107754,0.7535722885618431,0.6067611207402854,2.62684044059878,0.9535278951982132,-0.5688503177446027,-0.2125199142459678,-1.840188408886518,1.1473881930049652,,,,,,,,,"(1671518848, 1)",215.78230511415944,1,-0.4294785959269802,,,3329.1982563817633,-35.45934580149232,,,222.97752910132297,186.6947045989634,166.482718514996,248.2503761899372,208.6043069939615,191.78781285615676,179.4731806715717,171.02103879006577,166.91873225381224,164.47469966874618,161.16505562536457,156.51989202434922,151.55063809096995,0.8855989460735757,-0.0565566349677569
2,2,2,2,-0.0275486345171578,0.0655973241678846,0.0,0.2494476621725178,-0.1663820461404531,1.9743078178462423,-0.0203720946470602,0.0528752953203981,0.0,0.4891500401546878,0.652,0.3343411634503371,-0.1762579,0.2931977,-0.026221158,-0.035301752,23.17175,3.999798793703664,25.1152,1.386352,0.6309617,-0.0275486345171578,0.0655973241678846,0.2684163623858389,-0.1790342038180604,20.9911289,3.9986818571168574,25.1152,0.652,0,21.89,25.1152,-0.1762579,0.2931977,1.32,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.2718756640807827,-0.1350623476467274,0.8235839395416156,1.2006944051624324,0.5811089601455081,0.0983708703475921,-0.0406918798472231,-0.3955909102465731,0.940656817769943,,,,,,,,,"(1671518848, 3)",169.89723231830283,3,-0.269174154630324,,,5498.3982509557645,-39.5350555229434,,,171.411365039988,158.93102709044587,148.61962910486005,177.67774633395226,165.44884470543838,160.47624585997767,157.6196694989063,150.4283996911127,146.05763653539142,146.42002233051667,149.90425256078456,153.36633159753814,154.10884456647454,0.9538945286185788,-0.0030740715632382
3,3,3,3,-0.0390394002908161,-0.0590562312293277,0.0,0.0041299575196016,-0.1000909857198364,1.9989418538278945,-0.0872267520349689,-0.0211328963818884,0.0,1.256869917577283,0.252,0.3283771893700477,0.3228492,-0.3145961,-0.024084143,0.011569041,24.10869,3.999097743839634,25.1152,2.3403397,1.2385367,-0.0390394002908161,-0.0590562312293277,0.0041676886443504,-0.1010054129144243,18.1222363,4.00027247482227,25.1152,0.252,0,23.21,25.1152,0.3228492,-0.3145961,2.35,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.4430169111352054,0.9135449641945308,-1.499953146189677,4.1052562764650995,0.981112461851568,-0.6781942973051163,0.3346980813147666,-1.331239672150922,1.1636524427793768,,,,,,,,,"(1671518848, 5)",212.30745894968393,5,-1.123046723170849,,,1238.9878877600504,-39.54585241856461,,,215.30290123268747,199.04894448191945,190.09934844755287,226.27313873201865,209.65499877459965,201.66756711650083,194.1992311954963,192.2523747601748,192.17708367281844,189.86375880039284,185.17992466732497,180.0683124061369,176.0980573381151,1.0149008371462604,-0.0005470293680785
4,4,4,4,-0.0285919444959576,-0.0287173138698659,0.0,-0.1500728186368246,0.207568599279967,1.938413729547204,0.0870707319004447,-0.0353412427735426,0.0,0.8785783911880672,0.366,1.024870729598509,0.2288259,-0.4585956,0.028853487,0.03772159,23.399002,3.99992204881689,25.1152,1.9028844,0.98169625,-0.0285919444959576,-0.0287173138698659,-0.1549720852870232,0.2143448691289511,19.3703537,3.999464324373433,25.1152,0.366,0,22.01,25.1152,0.2288259,-0.4585956,1.86,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.5010581678319659,1.1557161633350448,-0.9764885812898922,1.2750696003401611,0.6735900798184301,-0.0900110151639853,0.2709399434547983,-0.6026648178084733,0.9540445624271132,,,,,,,,,"(1671518848, 6)",180.06110310310095,6,-0.9677342749141564,,,2001.689898362316,-53.00823987764377,,,181.9584295087633,170.24172501868412,161.32585472542098,189.7405099330777,177.70672693397296,169.92186199731276,167.20103647084127,167.26940855600853,163.87561103335997,158.5978340922281,154.3221947317954,152.1875815196538,152.3137542130498,0.977187760190552,0.1677926700711317
5,5,5,5,0.0783440294827076,0.0352157013378546,0.0,-0.1421365960489179,0.2082254696093964,1.9690610039934064,-0.0585224134973863,0.0023335613142433,0.0,0.9897109182080992,1.02,0.7992676806945969,0.04184945,-0.1739044,-0.15676221,0.06427217,23.341703,4.001535131699482,25.1152,2.5784621,0.6158509,0.0783440294827076,0.0352157013378546,-0.1262193641336043,0.1849072448693924,21.3780708,4.001125007576235,25.1152,1.02,0,20.93,25.1152,0.04184945,-0.1739044,2.45,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.2122806423468099,0.5194609811618887,-1.106857927663142,3.947268600978496,1.1069132107406945,0.3722138456101215,0.6671033944556923,-1.5746958787116971,1.1303431350358433,,,,,,,,,"(1671518848, 8)",241.5047726141468,8,-0.4666566865564774,,,7732.905539379516,-98.04115125053836,,,243.9807658080684,223.47352034102815,208.07619818001817,254.27236742659568,233.88560773150823,226.19709869917125,220.40165012096116,209.5146469831021,204.0733497918624,205.66904941941132,211.03469608445653,215.1681201216352,214.74578673124577,0.9701876888537484,0.1349186136815689
6,6,6,6,0.0110858311545706,-0.0076058780460894,0.0,-0.0428629807941919,0.0344090516811705,1.8148447580470992,-0.0713229829504309,-0.0098016890079283,0.0,0.7593760584698745,0.926,0.4856292378467709,-0.06218032,0.3883665,0.01562575,-0.017697452,25.43142,3.9977607011001535,25.1152,2.2609553,0.48210177,0.0110858311545706,-0.0076058780460894,-0.0425018665546507,0.0341191605373221,21.4877529,4.000536661693649,25.1152,0.926,0,23.55,25.1152,-0.06218032,0.3883665,2.24,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.402693497688353,-0.2519120560814326,1.2921011027894551,3.8763267427800616,1.3202118481233165,0.0379120612465228,-0.1976717017166242,-1.898006125444981,1.4665921744085573,,,,,,,,,"(1671518848, 9)",176.03878954240858,9,-0.6460591526114916,,,7149.710766907976,-114.84614632103789,,,176.04473212215743,174.70371978448108,178.0581870362346,176.2130879190176,175.71163543420604,177.63331884618455,172.2907656073421,170.98160435984008,176.83995816048912,183.41815001244856,184.5715160986678,180.4487555086414,174.52278604626926,0.8878574137376949,0.0594366541980351
7,7,7,7,-0.0262605992428231,0.0276469399043552,0.0,0.1120309779385576,-0.2180971187620483,2.110114148284736,0.0030821400462388,0.0230572016684477,0.0,0.526904099729634,0.336,0.6398632926141224,0.1858899,0.142964,0.007733031,4.6486217e-05,23.479446,3.999964772845532,25.1152,2.1332908,0.99816126,-0.0262605992428231,0.0276469399043552,0.1093999923793997,-0.2129752285445802,19.888834,4.000082487095149,25.1152,0.336,0,21.53,25.1152,0.1858899,0.142964,2.12,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.2414660611309209,0.5797547634442827,0.5160334221204511,2.4033417917090056,1.2464575243261249,-0.343230598561522,-0.0078604875772436,-0.3853741118648094,0.3332531768375507,,,,,,,,,"(1671518848, 11)",150.58064369275837,11,-0.2744227971405584,,,1759.9528234500708,-13.622904826270375,,,153.8800980204916,132.82527710994358,119.21694393152497,167.57390132155544,144.998490616047,133.25935422822974,127.5615155273463,125.39109663817013,121.45318466568968,116.30335056759766,111.85462024396274,108.95566024110828,107.786508568505,1.0072471902602238,0.1340067424071319
8,8,8,8,0.0925947374312199,0.0206720089368021,0.0,-0.1123194764667038,-0.0446015490407155,2.092599632446928,-0.0030782291414596,0.0508823933156555,0.0,0.6935437175628474,0.29,1.5563006542682685,0.218501,-0.3124781,-0.0117113795,0.07137256,25.186926,4.000639804222936,25.1152,2.9897976,1.2085605,0.0925947374312199,0.0206720089368021,-0.1266917575089978,-0.0503087159355403,19.2597198,3.998733318783201,25.1152,0.29,0,22.17,25.1152,0.218501,-0.3124781,3.07,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.3561479777264525,0.3490850783216377,-0.9189863258247798,3.3987359980016763,0.7369121191817631,-0.0283064142207449,0.3484558008298946,-0.4473414827313337,0.7599243310469653,,,,,,,,,"(1671518848, 12)",161.6302945642061,12,-0.4613504501098815,,,1415.818658085547,-17.95928246248338,,,164.8967996428581,147.0727327596086,136.88883812784957,176.87755193252477,158.2260194992173,149.33023383335762,142.25553439800763,139.72510479491467,138.63834373205077,136.0491123791789,131.99364880641352,127.84339478421109,124.6378471516958,0.9818337492726412,-0.1274786990758189
9,9,9,9,0.0124172144166713,-0.0519925769447574,0.0,-0.0012517066360254,0.0099392477970665,1.93110711840946,-0.028917757614951,0.0168031157099788,0.0,0.7427849305468637,0.168,0.4625276097552984,0.235946,-0.2575746,0.038298562,-0.015851742,22.87362,4.000641903295756,25.1152,1.62638,0.9398949,0.0124172144166713,-0.0519925769447574,-0.0017610347399064,0.0139835965995606,17.8524857,3.998252946762112,25.1152,0.168,0,21.99,25.1152,0.235946,-0.2575746,1.64,0.04,500,1e-10,6.6000000000000005,-1.4406596515686882e-16,-2.338462043125986e-16,planck18,1,PIXEL,,1.5,1400.0,25.1152,1,0.04,3.0,21.9,0.04,1,0.04,,2,0.3036924203661396,0.7050101261224746,-0.8440209991626949,5.418232965545525,1.4096641746001612,-0.2920038936545059,0.2119919133005362,-0.6622431252564253,0.4586930463747017,,,,,,,,,"(1671518848, 13)",163.38431516831798,13,-0.4445024072000734,,,814.1805217604126,-12.207961574843866,,,164.5498804469497,158.76588198378053,153.22909957765916,168.37392748242186,162.797156456196,158.04401731435658,157.24862703388234,158.1156376440154,155.31478036815486,150.95726337211983,147.66282219667593,146.37677452718145,147.17351565225573,1.2045806525042322,-0.1219531010779263
